Cuisine,ReviewCount,Rating,RestaurantID,Recommendation
chinese,943,4.5,X8ZS-dgiMIJvhwf9SaDnjw,1
chinese,480,4.5,lynQoI3w_pzYfHGeuUU-Qg,1
chinese,421,4.5,LpVbI-E9C-CSp7WhU5h2Iw,1
chinese,327,4.5,R7EGjHWw0tNheY6-ahH8fQ,1
chinese,553,4,xH7mEjh4Rn6KdHjXYNoOjw,1
chinese,199,4,dn8_HgoGUE4IFzwPI6GeLA,1
chinese,47,4.5,MzA6gitJKqfW4VrdS7AiQw,1
chinese,205,4,83ZcxzvtHX2PmsH_wPReOw,1
chinese,165,4,MdDj13LgIs0WdbIdiyqB7Q,1
chinese,72,4,NjBgTtcJgdXKLvqYt3C8CQ,1
chinese,70,4,YIwYw_A_LRwK66HBTzogYQ,1
chinese,27,4,-P9Wu5pDLTpmV3QBxTSgYg,1
chinese,34,4,k8GFfCXO2FIIJIo0ICYSRA,1
chinese,61,4,6oQKDCJrgDffPKXPTPBXlA,1
chinese,10,4.5,W3XmpomxgjrVjrAE_Z55ow,1
chinese,17,4,5tWpAFpF618KJxBhHJzF7g,1
chinese,11,4.5,410mrctS5pV7FQBSzcJSRg,1
chinese,8,4.5,ekXcaHSWrvmSQafJHIU-Dw,1
chinese,16,4,PwIMIWCzL7tlOVb-v0_RKw,1
chinese,9,4,DFxb7lZrcIHZ0ESK-0Zulg,1
chinese,11,4.5,A_e9adJ7v_U7trur2JMrgA,1
chinese,8,4.5,qgNTehLIqShtah57dFLPKQ,1
chinese,5,4.5,SprPbseDvZBcWCfh_ZZt5g,1
chinese,4,4.5,zWDiH7KpUhRhv1cPNExMDg,1
chinese,6,4,B7dR05bIWJ6qgUYk5jvzYQ,1
chinese,6,4.5,3xopDG55pZ6Z6UUAcGfxhw,1
french,55,4.5,JUGgD5WXc8eU5MoBKrfSGA,1
french,84,4.5,6hw4ibsutVoMl_RK0aAJ7Q,1
french,36,4.5,__2sT9sXXXnKLgcJCjY5JQ,1
french,211,4.5,mxDfu4bHwSXoCr3FRpyMsw,1
french,54,4.5,CcxreLJbZsO6Z775-hMWpw,1
french,1770,4.5,nRO136GRieGtxz18uD61DA,1
french,1978,4.5,ETgJqJHV7BW6pIr9Ox74sA,1
french,1060,4,bEXTA_Gwo2oVg4gnFd9fNA,1
french,1091,4,TIjtmaeUZexPZvcBz73VCw,1
french,1191,4,mv8dMMzzrzalso3sYCP_QA,1
french,889,4,5m-TrbqMNnwJvOd7pAt6OA,1
french,422,4.5,s3jou_L_LVYGkNHiuhjlew,1
french,392,4.5,PXTzmqJW7gbK-IkfKBEnFw,1
french,123,4.5,YvSCXoj-z1eS2soiXQSIFQ,1
french,30,4.5,OMUgy18pa8BwbGk78OOG0Q,1
indpak,34,4,UgVY-74sV9xHzx6WR96Wog,1
indpak,38,4,ar2ERFxW_GN76Xd8H0CtCQ,1
indpak,136,4,gsZUN1Vtpd3P7rdvANbrmg,1
indpak,249,3.5,T5aGLWBjIZoV0pSW80nJXA,1
indpak,39,4,jt6ygaAb0W_o3nWqbr_UjQ,1
indpak,24,4.5,WdaLydR9O57rWbTnQQQ1OQ,1
indpak,169,4.5,A-ert0jDRBfku9ogyW_mEg,1
indpak,56,4.5,LB-5zqmok2NI0DLkkjJ9Gg,1
indpak,4,5,w2-VGvlBCMYo9ko8Y_PzAw,1
italian,92,4.5,rTzojTIarMjh_X7YPliySw,1
italian,121,4,iKv8UHV5jTqf4QGdwCmQ-w,1
italian,156,4,q8wlm_XUjmSsTdTQKt2qbQ,1
japanese,60,4.5,yoGoH-1kDWMrQBI95ITo4A,1
japanese,239,3.5,UtrW_dBuT5aqxSzx0FUICQ,1
japanese,59,4,EG7KhvgAMOUAZm3fHQ4Hig,1
japanese,55,4,1HBtCnBGBYoq3zaQUxTbmg,1
japanese,23,4.5,R9jTfyPlnfk23gy8VCCVAg,1
japanese,140,4,pZMxOkuYVq_Q5QYTGA8LEA,1
japanese,36,4,K1h1-dbZLgfC4vZSeJfDMw,1
japanese,64,4,q23Br0CDFO6a1qx_7ItFKA,1
japanese,43,4,RoqLH-4rDugHlduthnZggg,1
japanese,48,4,zaYK-LuVRUoUVt6EV-xmPg,1
mexican,175,4,8_4S2ZUViG_gYoURPENTuA,1
mexican,104,4.5,uvcEo61aL2F8e4PCzwZsYg,1
mexican,112,4,ONpovEzuqFtHMHN-AtPd8g,1
mexican,20,4.5,vrqYwnxpJng6c85_OdZMSg,1
mexican,35,4.5,n_0zk3Lm7PKChIaZL8EorQ,1
mexican,80,4,_URXTaYBbd2XX5qJbDkKAg,1
mexican,34,4,h_ITJux-MF0YcmZx8KRHtA,1
mexican,18,4.5,9kT0F2cA8FIMZqBPQTSr8Q,1
mexican,14,4.5,TV_rsstsxdcFh_YmaSSv_g,1
mexican,12,4,529zJk9IcMZt4txd6ITTCA,1
mexican,8,4.5,5VjJtOBOOnZRx4KC71IpXQ,1
mexican,2,4.5,0XuJtcq9nMdAWyhJ_fZC-w,1
mexican,5,4.5,ePdAQHh3ZlktMZ4YTLWpwg,1
mexican,4,4.5,UEf5L44HjzyapxyWiUSfwg,1
mexican,4,4.5,orlKht_5oVoL_4UfwJ57LQ,1
mexican,3,4.5,U8a7sZvROHOxD73ZqJNjtg,1
mexican,4,5,lufU8ekWvTy4SBuHRnkAqg,1
thai,129,4.5,e64Y17DJgjotSz8B9gEI7Q,1
thai,299,4.5,9WgsvzaiXNAmmQGD0uQxFQ,1
thai,160,4.5,I4FWrwXDC91lsfQLXYSeXA,1
thai,646,4,m6bu1AGIIIM9GNn9_cjsmg,1
thai,871,4,rKeLuHDI3PQZsPSVCEMHtw,1
thai,570,4,qrydcGQpeDP_1oFvx3qOeg,1
thai,584,4,tVB11pOiDhPWlt_o6ylMNg,1
thai,22,4.5,feY7PgoRjCp2qReaIitRkQ,1
thai,34,4,NIiJThBRxA3dfLzflrqvdg,1
thai,33,4,UFMXc5B0i_IetI-f8Dpb5A,1
thai,155,4,KISxxrvjxx5qrayhcASl5w,1
thai,25,4.5,Nvhx093-K2xwHIZVnFstJw,1
thai,31,4,h22AQ68hX2o_YJH5bsACZw,1
thai,24,4,OR9oqAJW-U5ZnqhwH12Nuw,1
thai,83,4,TuGFxspYWd0smugwUeN9sA,1
thai,36,4,IYwz7ck1OZCoZqW0F31pLg,1
thai,14,4.5,Tk605KjXVTnXpGkOSuVBaQ,1
thai,14,4.5,ZS9qOk6BVvJDx6EBWy1QpA,1
thai,24,4,TwxP5xU_xyzlf7SVzCnpuA,1
thai,50,4.5,4mzogOLOVDPBDVTO4cz9fA,1
chinese,46,1.5,9ieA0TyApI94wEqqW_r93w,0
indpak,5,1.5,p0aDcwnhhjnAfn67tEFesg,0
indpak,5,1.5,Q3q5ODGrzCGjTUKaFEWJkw,0
indpak,11,1.5,XwJwqa89PK-xPSiEXAs_6g,0
indpak,6,1.5,Q4lFkP8mC4PLnPErm3ibjw,0
japanese,13,1.5,Xv_mKY4T3aQgfrkiCyh1Wg,0
japanese,7,1.5,iK0eVDtSFW7cW-4PKhq0WA,0
japanese,3,1.5,MkALxWX82TYuO3GxxGGrdw,0
japanese,2,1.5,bW13l463W_rqfJtr1LQNdA,0
mexican,32,1.5,WspSyFD3a2gxqzPiA2Obfg,0
mexican,31,1.5,lh3Nw3YT3d438n9-OwfkxQ,0
mexican,24,1.5,hoC7hJQM-Wku9sC5DPoiYg,0
mexican,16,1.5,X_AM_wFPAjwdDnsg9VAF8A,0
thai,7,1.5,59EsyFYqlFfS6MlxuNRk4Q,0
thai,7,1.5,fYKcfxFWcdAxp1pHvjpjdw,0
thai,5,1.5,hq73x-YmjAh4KFsQdbQx7A,0
thai,7,1.5,iK0eVDtSFW7cW-4PKhq0WA,0
thai,46,1.5,9ieA0TyApI94wEqqW_r93w,0
indpak,2,2.5,EJPqwdHlr6smIgI5SFP6vg,0
indpak,2,1,85123ck6ZQF5-4rTQbDHjA,0
indpak,2,1,VyP6C-L9405boyQqWTN_mg,0
indpak,1,1,2wkDxFATkqvhAojWtRdrQg,0
indpak,30,2.5,8YEW9Skc7m_Fl-7crFzPyQ,0
indpak,17,3,PZLdVjlGHc9XlvFDdxHcIw,0
indpak,17,2.5,clRkIWrwyNVpcZdhrYVB5g,0
indpak,12,2.5,7f-oylSG7GlfPRbfWo99LA,0
indpak,22,2.5,7_NCS8bQ8UA_nEANIWm-hQ,0
indpak,20,2.5,oyRcOkU1wvznOfQ_Wp3IzQ,0
indpak,70,2.5,R0FryAIetxATjdYwOdy1aQ,0
indpak,7,2.5,YGH_FoxpVIpOJ4M5hAtQZg,0
indpak,5,2.5,ndyZ-kElszC2oxiGHAorCQ,0
indpak,3,2.5,CpsnurlPqkUBWwqO69xS7A,0
indpak,8,2.5,0eRir9RUGAnfKov68kvKVA,0
indpak,3,2.5,WBJLoLeRSSzRDrzOv5IRng,0
indpak,4,2,LpQIn07liSugCw3IIQNyvA,0
italian,174,3.5,mwDGX4OH3smoducpde2Elw,0
italian,97,3.5,oau9HuGnei8D7vusubVYYw,0
italian,190,3,laQ3UStO-W9fkSaM2Y4eLw,0
italian,165,3,CfFfmyLid2ARJiMIco0YvA,0
italian,148,3,RMKKsZYt4Xsyq3nRGFPqdA,0
japanese,2,2.5,4VCXnljCrvEMgXEDUToQdg,0
japanese,1,1,xcJPCQeG3OgXWkgjB8avfQ,0
japanese,1,1,Yem2ErFfNgiD-63aM_yt4Q,0
japanese,1,1,TgUv8hOhaV4wsRGrkhyCsA,0
japanese,1,1,UwOPkhqaHMR1JAECFFEA5Q,0
japanese,2,1,P8OFIUF2K6PiIk_s1OWfzQ,0
japanese,2,1,BGxPQKWgcNcFgn0sb9msLA,0
japanese,1,2,mouXqwNTfu0BOzWq1YEMcg,0
japanese,72,2.5,hRjSYLEszj_fyFhU9FVJCQ,0
japanese,28,2,x67ykjBpxm3FrPSbnpBrmQ,0
japanese,19,2,T5N0NSny-Xxi6BP-ejxL2A,0
japanese,76,3,qI86P6EBB0_9qC4uIT0j-Q,0
japanese,19,2,Gv_srxSL2qgF3MfAnOeuJQ,0
japanese,11,3,IT8X2pHUih-pBMzMN9n7Rw,0
japanese,19,2,dnygsu4m_RVeTJ4cbaRFeg,0
mexican,224,3.5,JywbRdA7yskb-06WbjUjKw,0
mexican,228,3.5,qZfJbJPxZUkC66lRldcbGA,0
mexican,422,3,j4ZaQA8Ht9MFKz942uRG7g,0
mexican,185,3.5,0oRYwB_SLqjHptvUQwwe2w,0
mexican,287,2.5,441p9X0RMR4epB_yOHs73A,0
mexican,108,3,wKjv2DVTtfvHu-DJoWtatg,0
mexican,111,3,hlc6c-3N_rOvO_XwOGEYRw,0
mexican,168,3,_WWH46Z3RvdM6TO3hqVa8A,0
mexican,135,3,xwOhe0kIfB-ogOkxRcKtVg,0
mexican,224,3,gCwbwgUkihSjK75EpzwWHQ,0
mexican,649,2.5,POGfmcCkuLpkP_Vz98DuwQ,0
mexican,224,3,aStZY21Qmtzm1IS8y1_81g,0
mexican,229,3,JzUg9hbxpAbyvs0JzbFruA,0
mexican,61,3,-RGiP0Hboxsq7aRCbpdadA,0
mexican,107,3,GeL6wGdzhdEhuIFQau3ocQ,0
mexican,95,2.5,adDPQU75YmsQDx7n4xxw8A,0
mexican,133,2.5,Gw9wDneQviRAhrpEUkcnWQ,0
chinese,249,2.5,jhFqmhHRDf7TZcITsKntJA,0
chinese,218,2.5,qpFoZi5PqY7KVWCRNOmFGw,0
chinese,185,2.5,inp9N7bo9zqQSa8h8UBhqg,0
chinese,123,2.5,U0EJ4URMoFHJEzAkMp4WWQ,0
chinese,98,2.5,3rCA4ZFJoxCLosUB8CqlbQ,0
chinese,139,2.5,Ja4MWGAyPw74Oy6HJ5RizA,0
chinese,86,2.5,ggJ8NWu0augmwCdbJu1n8w,0
chinese,385,2.5,_RhAY03oEBw9HNwUAJyBCw,0
chinese,186,2.5,LYp3izplqg0x-h9CBlb-MQ,0
chinese,65,2.5,dDAlpjRdymf148x_9tL0pQ,0
chinese,54,2.5,FWPGIVIfleVCXoBCNERSsg,0
chinese,54,2.5,hQwaJ8ZSI7w-SKreogRkjw,0
chinese,52,2.5,4Vbzq9AD0wjSczpAvHUR9Q,0
chinese,48,2.5,lZy5TNhzgG53zEjK1N1w1w,0
chinese,52,2.5,aGmsJ6_NWw5vnLS43MZLpA,0
chinese,94,2.5,N05331bMRnUwz48pRRvD7g,0
chinese,82,2.5,gWaK8OEXawE43-Di0ykTNQ,0
chinese,65,2.5,xNge6PZM4ACi74NSDeQcxw,0
chinese,84,2.5,xd_8cHyPO8sjIV8JMojHnw,0
chinese,47,2.5,XaEFFUabnbH8ZF7ccmSAlQ,0
chinese,43,2.5,HIGneWKny_s38Y6jRoTDrQ,0
chinese,66,2.5,3RuiiqUg8C3HZ-RuvlqtBg,0
chinese,23,2.5,c0LTqiktNCR8CrguTPqB9g,0
chinese,22,2.5,Y7rizwe37H8O1RfKiXrf0Q,0
chinese,17,2.5,IregrqaJgF9jEghC5yljFw,0
chinese,21,2.5,LU4mHDTgFxOuvuK1SFbJag,0
chinese,27,2.5,OHqazo2j-RLZnLWo_YRnDw,0
french,16,2.5,l64cd3LR3URa8mofn2jamw,0